Descriptio	freq	token
Hard sand	107	0
Hard sandstone	1786	0
Hard sandy clay	261	0
HARD SCHIST	120	1
Hard shale	638	1
Hard siltstone	120	1
HARD SLATE	250	1
Hard smooth clay	122	0
HARD STONE	153	1
Hard stone	132	1
Hard streak	101	2
Hard streaks	174	2
HARD WHITE LIMESTONE	130	1
HARD WHITE QUARTZITE	111	1
Hard white sandstone	144	0
Hard yellow clay	162	0
HARD YELLOW LIMESTONE	101	1
HARDER GREY QUARTZITE	103	1
Honeycomb	237	2
Honeycomb basalt	1177	2
Honeycomb basalt  (w)	109	2
Honeycomb basalt wb	413	2
Honeycomb rock	366	2
Honeycombe basalt	122	2
Honeycombed basalt	134	2
In diorite	265	2
Inferior coal	2366	2
Inferior coal weathered	127	0
Interval not logged	294	4
Iron stone	119	2
Ironstone	1995	2
IRONSTONE	177	2
Ironstone bands	134	2
"Ironstone, gravel"	359	0
Jointed rock	121	2
Kaolin	343	2
L/stone.	138	2
Laterite	1561	0
"Laterite, clay"	390	0
"Laterite, red"	237	0
Light brown clay	1554	0
LIGHT BROWN CLAY	284	0
Light brown clay moist	236	0
Light brown sand	230	0
Light brown sandy clay	358	0
LIGHT BROWN SANDY CLAY	105	0
Light brown sandy clay moist	139	0
Light brown shale	202	2
Light brown silty clay	347	0
Light brown silty clay moist	412	0
Light brown silty clay wet	239	0
Light brown top soil	108	0
Light clay	119	0
Light grey clay	849	0
LIGHT GREY CLAY	219	0
Light grey sandstone	100	0
Light grey sandy clay	270	0
LIGHT GREY SANDY CLAY	113	0
Light grey shale	251	2
Light grey silty clay	149	0
Ligneous clay	4216	0
Ligneous clayey silt	261	0
Ligneous clays	143	0
Ligneous sand	156	0
Ligneous sandy clay	394	0
Ligneous sandy silt	124	0
Ligneous silt	226	0
Ligneous silty clay	448	0
Ligneous silty sand	164	0
Lignious clay	188	0
Lignite	841	2
LIGNITE	187	2
LIGNITE CLAY	178	0
Lignite/brown coal/peat	202	2
LIGNITIC CLAY	140	0
Lime stone	158	2
LIMESAND	166	0
Limestone	12992	2
LIMESTONE	8926	2
Limestone & aquifer	170	0
Limestone & clay	130	0
LIMESTONE AND BLACK FLINT	115	2
Limestone and clay	178	0
LIMESTONE AND CLAY	166	0
LIMESTONE AND FLINT	296	2
Limestone and sand	161	0
Limestone hard	255	1
LIMESTONE RUBBLE	104	0
Limestone soft	112	0
Limestone water supply	123	0
"Limestone, broken"	214	0
"Limestone, clay"	149	0
"Limestone, fractured"	127	0
"Limestone, grey"	236	2
"Limestone, hard"	214	1
"Limestone, limestone"	243	2
"Limestone, weathered"	135	0
"Limestone, white"	281	2
Limestone.	561	2
LIMESTONE.	107	2
Loam	1322	0
Loose basalt	182	0
MARBLE	101	2
Marine clay	103	0
Marl	1676	2
MARL	224	2
Marl/lime seds/limestone	123	2
Marl/lime seds/limestone - consolidated - coral	143	1
Marl/lime seds/limestone - consolidated - grey limestone	108	1
Marl/lime seds/limestone - consolidated - limestone	299	1
Marle	169	2
MARLY LIMESTONE	674	2
Marly limestone	132	2
MARLY LIMESTONE & FLINT	160	2
MARLY LIMESTONE AND FLINT	329	2
Med sand	213	0
Medium brown sand	132	0
Medium coarse sand	215	0
Medium coarse sand wet	347	0
Medium grain sand	124	0
Medium grained sand	149	0
Medium grey sand	149	0
Medium hard basalt	309	1
Medium hard blue basalt	110	1
Medium hard blue shale	237	1
Medium hard grey mudstone	217	1
Medium hard mudstone	251	1
Medium hard sandstone	261	0
Medium sand	2788	0
Medium sand - coarse	129	0
Medium sand - very coarse	205	0
Medium sand wet	759	0
Medium sands	164	0
Medium to coarse sand	580	0
Medium to coarse sand wet	183	0
Medium to fine sand	105	0
Medium white sand	103	0
MICA SCHIST	163	2
Missing	131	4
Moist brown clay	435	0
Moist brown silty clay	155	0
Mottled clay	3775	0
MOTTLED CLAY	133	0
Mottled clays	495	0
Mottled sandy clay	515	0
Mottled silty clay	185	0
Mottley clay	246	0
Mud	201	0
Mud stone	121	2
Muddy sandstone	197	0
Mudstone	9733	2
MUDSTONE	184	2
Mudstone and sandstone	105	0
Mudstone grey	168	2
"Mudstone, carbonaceous"	310	2
"Mudstone, grey"	157	2
"Mudstone, sandy"	437	0
Multicoloured clay	361	0
Multicoloured clays	155	0
Multicoloured sandy clay	197	0
No core	170	4
NO CORE	104	4
No data	146	4
No details	212	4
No details available	1641	4
No sample	289	4
NO SAMPLE	167	4
No soil;	156	0
No strata details	106	4
No strata details available	217	4
No strata records available	1475	4
Nominal	162	4
Not applicable - condition unknown - no comment or log recorded.	175	4
Not applicable - condition unknown - original illegible.	143	4
Not logged	1802	4
Not logged.	889	4
Orange & grey clay	431	0
Orange & grey sandy clay	343	0
Orange and grey clay	297	0
Orange and grey sandy clay	313	0
Orange clay	1104	0
ORANGE CLAY	351	0
Orange sand	249	0
Orange sandy clay	241	0
ORANGE SANDY CLAY	211	0
Overburden	630	0
Peat	189	0
Pink clay	515	0
Pink sandy clay	113	0
Pipe clay	624	0
Pipeclay	176	0
Porcellanite	187	2
Porphyry	203	2
Porphyry water supply	101	0
Potable	379	4
Pug	161	0
Puggy clay	132	0
Puggy grey shale	102	0
Pyrites	103	2
Quality descrip/conduct:   9999	123	4
Quality descrip/conduct: brackish	300	4
